,first_ind,second_ind,first_drug,second_drug,AB_score,BA_score,AA_score,BB_score,synergy_score,first_moa,second_moa,first_len,second_len
0,376,49,Camptothecin,Epirubicin HCl,0.48953309500377373,0.267371494937103,0.3828661876225744,0.37158876546206043,0.10666690738119933,Topoisomerase,Topoisomerase,1,1
1,376,41,Camptothecin,Doxorubicin (Adriamycin) HCl,0.48953309500377373,0.267371494937103,0.3828661876225744,0.37158876546206043,0.10666690738119933,Topoisomerase,Topoisomerase,1,1
2,391,49,midostaurin,Epirubicin HCl,0.4763407769047051,0.2517792599834906,0.3553330430160513,0.37158876546206043,0.10475201144264468,Cytoskeletal Signaling,Topoisomerase,1,1
3,391,41,midostaurin,Doxorubicin (Adriamycin) HCl,0.4763407769047051,0.2517792599834906,0.3553330430160513,0.37158876546206043,0.10475201144264468,Cytoskeletal Signaling,Topoisomerase,1,1
4,190,41,Hydroxy Camptothecine,Doxorubicin (Adriamycin) HCl,0.48052060291291365,0.26745027646196884,0.3765790436758635,0.37158876546206043,0.10394155923705017,Topoisomerase,Topoisomerase,1,1
5,144,41,(S)-10-Hydroxycamptothecin,Doxorubicin (Adriamycin) HCl,0.48052060291291365,0.26745027646196884,0.3765790436758635,0.37158876546206043,0.10394155923705017,Topoisomerase,Topoisomerase,1,1
6,144,49,(S)-10-Hydroxycamptothecin,Epirubicin HCl,0.48052060291291365,0.26745027646196884,0.3765790436758635,0.37158876546206043,0.10394155923705017,Topoisomerase,Topoisomerase,1,1
7,190,49,Hydroxy Camptothecine,Epirubicin HCl,0.48052060291291365,0.26745027646196884,0.3765790436758635,0.37158876546206043,0.10394155923705017,Topoisomerase,Topoisomerase,1,1
8,186,381,Harmine hydrochloride,Alectinib hydrochloride,0.3772201388423474,0.273543519578204,0.2741247321474938,0.26409566263742656,0.10309540669485362,Cell Cycle,ALK signaling,1,1
9,186,291,Harmine hydrochloride,Erdafitinib (JNJ-42756493),0.3758345450552887,0.2778836460247339,0.2741247321474938,0.25746811183408214,0.1017098129077949,Cell Cycle,Others,1,1
10,186,219,Harmine hydrochloride,Fingolimod (FTY720) HCl,0.3866015943947718,0.2313368116551383,0.2741247321474938,0.2858146456564393,0.1007869487383325,Cell Cycle,GPCR & G Protein,1,1
11,186,350,Harmine hydrochloride,Pemetrexed (LY-231514) disodium,0.37383306492979895,0.2733553158199272,0.2741247321474938,0.27526812572480275,0.0985649392049962,Cell Cycle,antimetabolite,1,1
12,186,386,Harmine hydrochloride,Oxaliplatin,0.3742616523632074,0.2232393467275341,0.2741247321474938,0.2805445904032732,0.09371706195993423,Cell Cycle,DNA alkylator,1,1
13,186,218,Harmine hydrochloride,Anamorelin,0.3667607006778689,0.24549379639075786,0.2741247321474938,0.2159836245690867,0.09263596853037515,Cell Cycle,Others,1,1
14,376,165,Camptothecin,Daunorubicin HCl,0.5028567275543634,0.28035306757636713,0.3828661876225744,0.4107262780079899,0.0921304495463735,Topoisomerase,Topoisomerase,1,1
15,186,79,Harmine hydrochloride,Fludarabine,0.36554918150064786,0.24655959359873192,0.2741247321474938,0.22138334646956148,0.09142444935315408,Cell Cycle,antimetabolite,1,1
16,186,89,Harmine hydrochloride,Gemcitabine,0.3634294880833874,0.28697935779937334,0.2741247321474938,0.25817396562900075,0.0893047559358936,Cell Cycle,antimetabolite,1,1
17,186,61,Harmine hydrochloride,Altretamine,0.36305800749047956,0.2652982065023115,0.2741247321474938,0.24547173156957836,0.08893327534298578,Cell Cycle,DNA alkylator,1,1
18,186,362,Harmine hydrochloride,Methotrexate disodium,0.36643229906394414,0.2553448708644648,0.2741247321474938,0.27821136447886863,0.08822093458507552,Cell Cycle,Metabolism,1,1
19,186,340,Harmine hydrochloride,Crizotinib hydrochloride,0.36233016649473015,0.28303688005953664,0.2741247321474938,0.2628325945503207,0.08820543434723638,Cell Cycle,Protein Tyrosine Kinase,1,1
20,186,312,Harmine hydrochloride,Vitexin,0.3622975581469926,0.2542432351288155,0.2741247321474938,0.23575970972741256,0.08817282599949883,Cell Cycle,Others,1,1
21,186,202,Harmine hydrochloride,Vinorelbine Tartrate,0.36222378860715776,0.28451813884406174,0.2741247321474938,0.27159292474727137,0.08809905645966398,Cell Cycle,Cytoskeletal Signaling,1,1
22,186,95,Harmine hydrochloride,Azacitidine,0.3620980744115623,0.25380534163496427,0.2741247321474938,0.22835653138641443,0.0879733422640685,Cell Cycle,DNA Methyltransferase,1,1
23,186,252,Harmine hydrochloride,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.3613994940314861,0.2349076796925822,0.2741247321474938,0.19959088725770857,0.0872747618839923,Cell Cycle,ERK MAPK signaling,1,1
24,186,127,Harmine hydrochloride,Daidzin,0.36135761153616186,0.26798549287401374,0.2741247321474938,0.24909877121095347,0.08723287938866808,Cell Cycle,Metabolism,1,1
