"FC1"	"FC2"	"FC3"	"FC4"	"FC5"	"FC6"	"FC7"	"FC8"	"FC9"	"FC10"
"Neuroactive ligand-receptor interaction"	1.65338895804362	1.48876794964265	0	0	0	0	0	0	0	0
"Ribosome"	1.92078961211551	2.3448820727315	0	0	0	0	1.68910121711041	0	1.75780379041249	0
"Olfactory transduction"	2.10278504271288	0	0	0	0	0	0	0	0	0
"Taste transduction"	1.84922517053147	0	0	0	0	0	0	0	0	0
"Spliceosome"	1.56496580746975	1.73377483443709	1.97651775486827	0	1.66582914572864	0	1.5091592296853	0	1.44272575250836	0
"Autoimmune thyroid disease"	1.83533862356878	0	0	0	0	0	0	0	0	0
"Ribosome biogenesis in eukaryotes"	1.74617237465046	2.05177181364006	3.04190028335443	0	2.06523847306709	2.00140532209076	1.81903207996506	0	1.71154579592795	0
"Coronavirus disease - COVID-19"	1.34543788498413	1.50134586626789	0	0	0	0	0	0	0	0
"Protein digestion and absorption"	1.55387237896111	0	0	0	0	0	0	0	0	0
"Cell cycle"	0	0	1.90933562428408	0	1.58467336683417	0	0	0	0	0
"DNA replication"	0	0	2.762313860252	0	0	0	0	0	0	0
"Base excision repair"	0	0	0	0	0	2.08683115900926	0	0	0	0
